# graze_gui baked area ephemeris table (DE421, ICRF equatorial J2000, km, km/s)
# columns: JD_TT  moon_x moon_y moon_z  sun_x sun_y sun_z  earthvel_x earthvel_y earthvel_z
# generated by gen_area_ephemeris.py -- see file header for data provenance
# range: 2025-01-01 to 2030-06-01 UTC, step 60.0 min
47449
2460676.500800741 152116.875710214 -307796.342344966 -166865.163335816 26732723.178663842 -132724330.006328523 -57534708.355176888 -29.776623543 -5.079291984 -2.202354603
2460676.542467407 155466.854005644 -306361.692793075 -166091.105189543 26839956.922400318 -132706029.115490600 -57526773.967389256 -29.772554304 -5.099305689 -2.211040966
2460676.584134074 158802.226175530 -304898.587386614 -165301.560935161 26947175.986720286 -132687656.177474037 -57518808.309767485 -29.768467836 -5.119316310 -2.219725952
2460676.625800741 162122.660089111 -303407.131234115 -164496.587370060 27054380.310851701 -132669211.203157112 -57510811.387163296 -29.764364157 -5.139323831 -2.228409551
2460676.667467407 165427.824284356 -301887.432580645 -163676.243001501 27161569.830445882 -132650694.204115123 -57502783.204734869 -29.760243274 -5.159328282 -2.237091780
2460676.709134074 168717.388232452 -300339.602707001 -162840.587992231 27268744.484766614 -132632105.191383526 -57494723.767410457 -29.756105181 -5.179329574 -2.245772600
2460676.750800741 171991.022267620 -298763.755976997 -161989.684186031 27375904.213095684 -132613444.176072672 -57486633.080155022 -29.751949899 -5.199327707 -2.254452012
2460676.792467407 175248.397520168 -297160.009889907 -161123.595136061 27483048.951141339 -132594711.169997245 -57478511.148243032 -29.747777436 -5.219322681 -2.263130002
2460676.834134074 178489.186178121 -295528.484972479 -160242.386046575 27590178.638224483 -132575906.184424728 -57470357.976715878 -29.743587781 -5.239314467 -2.271806553
2460676.875800741 181713.061418815 -293869.304827539 -159346.123799174 27697293.213685639 -132557029.230697408 -57462173.570651606 -29.739380941 -5.259302989 -2.280481666
2460676.917467407 184919.697343892 -292182.596187677 -158434.876981835 27804392.613294970 -132538080.320868969 -57453957.935440883 -29.735156931 -5.279288292 -2.289155334
2460676.959134074 188108.769237791 -290468.488800126 -157508.715826738 27911476.776435357 -132519059.466438606 -57445711.076238006 -29.730915762 -5.299270332 -2.297827542
2460677.000800741 191279.953501128 -288727.115476638 -156567.712237211 28018545.642511029 -132499966.678980097 -57437432.998233907 -29.726657424 -5.319249094 -2.306498274
2460677.042467407 194432.927587639 -286958.612148350 -155611.939817401 28125599.147358961 -132480801.970785677 -57429123.706935115 -29.722381931 -5.339224547 -2.315167509
2460677.084134074 197567.370259245 -285163.117743599 -154641.473806254 28232637.230429091 -132461565.353585571 -57420783.207608685 -29.718089283 -5.359196663 -2.323835276
2460677.125800741 200682.961521223 -283340.774239009 -153656.391105120 28339659.831194188 -132442256.839184582 -57412411.505558029 -29.713779513 -5.379165426 -2.332501516
2460677.167467407 203779.382561109 -281491.726715495 -152656.770308039 28446666.885563135 -132422876.440112814 -57404008.606405273 -29.709452588 -5.399130806 -2.341166258
2460677.209134074 206856.316000044 -279616.123229075 -151642.691631912 28553658.333057724 -132403424.168330967 -57395574.515529722 -29.705108546 -5.419092834 -2.349829465
2460677.250800741 209913.445829747 -277714.114863130 -150614.236944742 28660634.113224361 -132383900.035873920 -57387109.238346979 -29.700747378 -5.439051405 -2.358491138
2460677.292467407 212950.457353376 -275785.855785485 -149571.489796503 28767594.162048697 -132364304.055508882 -57378612.780594297 -29.696369093 -5.459006563 -2.367151260
2460677.334134074 215967.037432877 -273831.503112309 -148514.535345550 28874538.419129439 -132344636.239426106 -57370085.147762805 -29.691973716 -5.478958264 -2.375809826
2460677.375800741 218962.874427758 -271851.216961503 -147443.460387471 28981466.824091502 -132324896.599889696 -57361526.345379740 -29.687561225 -5.498906463 -2.384466834
2460677.417467407 221937.658137915 -269845.160510801 -146358.353386517 29088379.313002303 -132305085.149902999 -57352936.379296958 -29.683131650 -5.518851221 -2.393122263
2460677.459134074 224891.080046700 -267813.499854862 -145259.304398291 29195275.825542402 -132285201.901884630 -57344315.255116835 -29.678684987 -5.538792387 -2.401776083
2460677.500800741 227822.833261501 -265756.404059731 -144146.405099196 29302156.301420171 -132265246.868326917 -57335662.978477694 -29.674221251 -5.558730051 -2.410428330
